,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
137,31,Ломинцево,Шахта 25 (откл.),16000,6,З-д Прогресс АО Тулажелдормаш,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
138,31,Ломинцево,Шевелёвка,16000,6,Щекинский РЭС,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
139,36,Гурово,1,6300,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
140,36,Гурово,3,6300,6,ОАО Гурово-Бетон,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
141,36,Гурово,5,6300,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
142,36,Гурово,7,6300,6,ООО Хайдельберг -Цемент Рус,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
143,36,Гурово,9,6300,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
144,36,Гурово,2,6300,6,Алексинский РЭС,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
145,36,Гурово,4,6300,6,Алексинский РЭС,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
146,36,Гурово,6,6300,6,Алексинский РЭС,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
147,36,Гурово,8,6300,6,Алексинский РЭС,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
148,36,Гурово,10,6300,6,ООО Гурово-Асфальт,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
149,36,Гурово,12 (откл.),6300,6,,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
150,41,Перекоп,2А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
151,41,Перекоп,4А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
152,41,Перекоп,6А+Б,63000,6,ТДЭ МЖД (Тульская дистанция электроснабжения Московской железной дороги),Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
153,41,Перекоп,7А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
154,41,Перекоп,9А+Б,63000,6,"ООО ""Ин-Групп Энерго""",Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
155,41,Перекоп,11А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
156,41,Перекоп,13А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
157,41,Перекоп,14А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
158,41,Перекоп,15А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
159,41,Перекоп,17А+Б,63000,6,ОАО Октава,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
160,41,Перекоп,19А+Б:,63000,6,,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
161,41,Перекоп,кабель 19 А ,63000,6,ОАО ТГК-4 (Квадра),Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
162,41,Перекоп,кабель 19 Б - (РДУ),63000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
163,41,Перекоп,20 А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
164,41,Перекоп,22А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
165,41,Перекоп,24 А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
166,41,Перекоп,26 А+Б,63000,6,ЗАО Тульский завод РТИ,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
167,41,Перекоп,31,63000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
168,41,Перекоп,33,63000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
169,41,Перекоп,37,63000,10,"OOO Екатерининские 
дворы",Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
170,41,Перекоп,35,63000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
171,41,Перекоп,41,63000,10,Ленинский РЭС,Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
172,41,Перекоп,1А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
173,41,Перекоп,3А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
174,41,Перекоп,5А+Б,60000,6,ТДЭ МЖД (Тульская дистанция электроснабжения Московской железной дороги),Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
175,41,Перекоп,8А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
176,41,Перекоп,10А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
177,41,Перекоп,12А+Б,60000,6,"ООО ""Ин-Групп Энерго""",Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
178,41,Перекоп,16А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
179,41,Перекоп,18А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
180,41,Перекоп,21А+Б:,60000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
181,41,Перекоп,кабель 21 А - (РДУ),60000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
182,41,Перекоп,первый кабель 21 Б - (Тулэнерго),60000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
183,41,Перекоп,второй кабель 21 Б,60000,6,ОАО ТГК-4 (Квадра),Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
184,41,Перекоп,23А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
185,41,Перекоп,30,60000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
186,41,Перекоп,32,60000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
187,41,Перекоп, 34,60000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
188,41,Перекоп,36,60000,10,OOO Екатерининские дворы,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
189,41,Перекоп,40,60000,10,Ленинский РЭС,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
