,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
584,218,Южная, 36,25000,10,"ОАО ""НПО""Сплав""",Т-3,3 СкШ 10 кВ ПС Южная,3 СкШ 10 кВ
595,219,Центральная,,40000,10,,Т-1,1 СкШ 10 кВ ПС Центральная,1 СкШ 10 кВ
596,219,Центральная,1,40000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Центральная,1 СкШ 6 кВ
607,219,Центральная,2,25000,6,МКП Тулгорэлектротранс,Т-2,2 СкШ 6 кВ ПС Центральная,2 СкШ 6 кВ
613,219,Центральная,14,25000,10,ОАО Октава,Т-2,2 СкШ 10 кВ ПС Центральная,2 СкШ 10 кВ
623,220,Карамышево,1 (откл.),4000,6,ОАО Щекинская птицефабрика,Т-1,1 СкШ 6 кВ ПС Карамышево,1 СкШ 6 кВ
626,220,Карамышево,2,4000,6,Щекинский РЭС,Т-2,2 СкШ 6 кВ ПС Карамышево,2 СкШ 6 кВ
630,239,Оленьково,Город 1 ,4000,10,Войсковая часть 56707,Т-1,1 СкШ 10 кВ ПС Оленьково,1 СкШ 10 кВ
635,239,Оленьково,Город 2 ,4000,10,Войсковая часть 56707,Т-2,2 СкШ 10 кВ ПС Оленьково,2 СкШ 10 кВ
642,240,Красный Яр,,6300,10,,Т-1,1 СкШ 10 кВ ПС Красный Яр,1 СкШ 10 кВ
648,240,Красный Яр,,6300,10,,Т-2,2 СкШ 10 кВ ПС Красный Яр,2 СкШ 10 кВ
653,241,Мыза,1,6300,6,ОАО Тулагорводоканал,Т-1,1 СкШ 6 кВ ПС Мыза,1 СкШ 6 кВ
657,241,Мыза,2,6300,6,ОАО Тулагорводоканал,Т-2,2 СкШ 6 кВ ПС Мыза,2 СкШ 6 кВ
661,243,Привокзальная,,40000,6,3 СкШ 10 кВ.,Т-1,1 СкШ 6 кВ ПС Привокзальная,1 СкШ 6 кВ
667,243,Привокзальная,11,40000,10,ОАО Тулаточмаш,Т-1,1 СкШ 10 кВ ПС Привокзальная,1 СкШ 10 кВ
688,243,Привокзальная,,40000,10,4 СкШ  10 кВ.,Т-2,2 СкШ 10 кВ ПС Привокзальная,2 СкШ 10 кВ
689,243,Привокзальная,2,40000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Привокзальная,2 СкШ 6 кВ
712,254,Шатск,1 (откл.),15000,6,,Т-1,1 СкШ 6 кВ ПС Шатск,1 СкШ 6 кВ
717,254,Шатск,2 (откл.),10000,6,,Т-2,2 СкШ 6 кВ ПС Шатск,2 СкШ 6 кВ
722,262,Дмитриевская,1,4000,10,Ясногорский РЭС ,Т-1,1 СкШ 10 кВ ПС Дмитриевская,1 СкШ 10 кВ
727,262,Дмитриевская,2,4000,10,Ясногорский РЭС ,Т-2,2 СкШ 10 кВ ПС Дмитриевская,2 СкШ 10 кВ
730,278,Алешня,1,16000,10,Ленинский РЭС,Т-1,1 СкШ 10 кВ ПС Алешня,1 СкШ 10 кВ
736,278,Алешня,2 (откл.),16000,10,,Т-2,2 СкШ 10 кВ ПС Алешня,2 СкШ 10 кВ
742,279,Гайково,1,6300,10,Щекинский РЭС,Т-1,1 СкШ 10 кВ ПС Гайково,1 СкШ 10 кВ
750,279,Гайково,2,10000,10,Щекинский РЭС,Т-2,2 СкШ 10 кВ ПС Гайково,2 СкШ 10 кВ
758,281,Варфоломеево,1 (откл.),4000,10,,Т-1,1 СкШ 10 кВ ПС Варфоломеево,1 СкШ 10 кВ
762,281,Варфоломеево,2 (откл.),2500,10,,Т-2,2 СкШ 10 кВ ПС Варфоломеево,2 СкШ 10 кВ
766,287,Ботня,1,2500,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Ботня,1 СкШ 6 кВ
771,295,Калмыки,1 (резерв),2500,10,Киреевский ГРЭС,Т-1,1 СкШ 10 кВ ПС Калмыки,1 СкШ 10 кВ
776,295,Калмыки,2,4000,10,Киреевский ГРЭС,Т-2,2 СкШ 10 кВ ПС Калмыки,2 СкШ 10 кВ
778,296,Зыбино,1,4000,10,Ясногорский РЭC,Т-1,1 СкШ 10 кВ ПС Зыбино,1 СкШ 10 кВ
782,296,Зыбино,2 (откл.),4000,10,Ясногорский РЭC,Т-2,2 СкШ 10 кВ ПС Зыбино,2 СкШ 10 кВ
786,302,Рассвет,1,16000,10,Ленинский РЭС,Т-1,1 СкШ 10 кВ ПС Рассвет,1 СкШ 10 кВ
794,302,Рассвет,2,16000,10,Ленинский РЭС,Т-2,2 СкШ 10 кВ ПС Рассвет,2 СкШ 10 кВ
804,303,Авангард,1,10000,10,Алексинский РЭС,Т-1,1 СкШ 10 кВ ПС Авангард,1 СкШ 10 кВ
807,303,Авангард,2,10000,10,Алексинский РЭС,Т-2,2 СкШ 10 кВ ПС Авангард,2 СкШ 10 кВ
